artefact_name,artefact_type,source_archive,source_path,external_standard_dependency,local_or_external,status,notes
CodeSystemActiveIngredientMyCore,CodeSystem,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Code system\medication\CodeSystem-active-ingredient-my-core.json; CodeSystems/code-system-active-ingredient-my-core.csv,None,local,active,Verified against terminology extract.
CodeSystemAllergyCodeMyCore,CodeSystem,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Code system\allergy\CodeSystem-allergy-code-my-core.json; CodeSystems/code-system-allergy-code-my-core.csv,None,local,active,Verified against terminology extract.
CodeSystemAllergyEnvironmentMyCore,CodeSystem,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Code system\allergy\CodeSystem-allergy-environment-my-core.json; CodeSystems/code-system-allergy-environment-my-core.csv,None,local,active,Verified against terminology extract.
CodeSystemAudiologyAssessmentMyCore,CodeSystem,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Code system\Procedure\CodeSystem-audiology-assessment-my-core.json; CodeSystems/code-system-audiology-assessment-my-core.csv,None,local,active,Verified against terminology extract.
CodeSystemAudiologyAuralRehabilitationMyCore,CodeSystem,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Code system\Procedure\CodeSystem-audiology-aural-rehabilitation-my-core.json; CodeSystems/code-system-audiology-aural-rehabilitation-my-core.csv,None,local,active,Verified against terminology extract.
CodeSystemAudiologyCochlearImplantAssessmentMyCore,CodeSystem,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Code system\Procedure\CodeSystem-audiology-cochlear-implant-assessment-my-core.json; CodeSystems/code-system-audiology-cochlear-implant-assessment-my-core.csv,None,local,active,Verified against terminology extract.
CodeSystemAudiologyElectrophysiologyTestMyCore,CodeSystem,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Code system\Procedure\CodeSystem-audiology-electrophysiology-test-my-core.json; CodeSystems/code-system-audiology-electrophysiology-test-my-core.csv,None,local,active,Verified against terminology extract.
CodeSystemAudiologyHearingAidAssessmentMyCore,CodeSystem,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Code system\Procedure\CodeSystem-audiology-hearing-aid-assessment-my-core.json; CodeSystems/code-system-audiology-hearing-aid-assessment-my-core.csv,None,local,active,Verified against terminology extract.
CodeSystemAudiologyNeonatalHearingScreeningMyCore,CodeSystem,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Code system\Procedure\CodeSystem-audiology-neonatal-hearing-screening-my-core.json; CodeSystems/code-system-audiology-neonatal-hearing-screening-my-core.csv,None,local,active,Verified against terminology extract.
CodeSystemCancelationReasonMyCore,CodeSystem,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Code system\Schedule & Appointment\CodeSystem-cancelation-reason-my-core.json; CodeSystems/code-system-cancellation-reason-my-core.csv,None,local,active,Verified against terminology extract.
