code,display,definition,system_url,system_name
1,Abacavir,Abacavir~~Nucleoside reverse transcriptase inhibitors - guanosine analogues,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
2,Abciximab,Abciximab~~Monoclonal antibodies - chimeric human/murine,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
3,Acarbose,Acarbose~~Alpha-glucosidase inhibitor,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
4,Acetazolamide,Acetazolamide~~Carbonic anhydrase inhibitors,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
5,Acetic Acid,Acetic Acid~~acetic acid,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
6,Acetone,,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
7,Acetylcysteine,Acetylcysteine~~Thiol compounds,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
8,Cilostazol,,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
9,Acetylsalicylic acid,Acetylsalicylic acid~~Salicylates,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
10,Acetylsalicylic acid+ glycine,Acetylsalicylic acid+ glycine~~Salicylates,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
11,Acitretin,Acetylsalicylic acid+ glycine~~Glycine,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
12,Acriflavine,Acitretin~~Retinoids,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
13,Acyclovir,Acriflavine~~Acridine derivatives,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
14,Adalimumab,Acyclovir~~Guanine nucleoside antivirals,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
15,Adapalene,Adalimumab~~Monoclonal antibodies - human,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
16,Adefovir Dipivoxil,Adapalene~~Retinoids,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
17,Adenosine,Adefovir Dipivoxil~~Adefovir,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
18,Adrenaline (Epinephrine),Adenosine~~Adenosine,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
19,Agomelatine,Adrenaline (Epinephrine)~~Sympathomimetic mixed alpha and beta agonists,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
20,Albendazole,Agomelatine~~agomelatine,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
21,Albumin,Albendazole~~Benzimidazole anthelmintics,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
22,Ethanol (96%),Albumin~~Albumins,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
23,Alendronate,,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
24,Alendronate + Cholecalciferol,Alendronate~~Bisphosphonates,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
25,Alfacalcidol,Alendronate + Cholecalciferol~~Bisphosphonates,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
26,Alfentanil,Alendronate + Cholecalciferol~~Vitamin D analogues,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
27,Alfuzosin,Alfacalcidol~~Vitamin D analogues,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
28,Alglucosidase alfa,Alfentanil~~Opioids,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
29,Allopurinol,Alfuzosin~~Alpha-blockers (quinazoline derivatives),http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
30,All-Trans Retinoic Acid (Tretinoin),Alglucosidase alfa~~alglucosidase alfa,http://fhir.hie.moh.gov.my/CodeSystem/active-ingredient-my-core,CodeSystemActiveIngredientMyCore
