code,display,definition,system_url,system_name
1,Paracetamol and related agents,Paracetamol and related agents,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
2,Penicillins,Penicillins,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
3,Walnut,Walnut,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
4,Carrot,Carrot,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
5,Cystine and derivatives,Cystine and derivatives,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
6,2-aminoethyl dihydrogen phosphate,2-aminoethyl dihydrogen phosphate,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
7,4-Aminoquinoline compounds,4-Aminoquinoline compounds,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
8,5-Alpha-reductase inhibitors,5-Alpha-reductase inhibitors,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
9,5-HT3 receptor antagonists,5-HT3 receptor antagonists,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
10,5-aminosalicylic acid and derivatives,5-aminosalicylic acid and derivatives,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
11,5-hydroxytryptophan,5-hydroxytryptophan,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
12,8-Aminoquinoline compounds,8-Aminoquinoline compounds,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
13,Abalone,Abalone,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
14,Abatacept and derivatives,Abatacept and derivatives,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
15,Abetimus,Abetimus,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
16,Abiraterone,Abiraterone,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
17,Acacia,Acacia,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
18,Acai,Acai,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
19,Acamprosate,Acamprosate,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
20,Aceclidine,Aceclidine,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
21,Aceglutamide,Aceglutamide,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
22,Acesulfame,Acesulfame,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
23,Acetarsol,Acetarsol,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
24,Acetylaspartic acid,Acetylaspartic acid,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
25,Acetylcarnitine,Acetylcarnitine,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
26,Acetyltryptophan,Acetyltryptophan,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
27,Acexamic acid (all salts),Acexamic acid (all salts),http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
28,Achyranthes bidentata,Achyranthes bidentata,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
29,Acmella ciliata,Acmella ciliata,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
30,Aconitum napellus,Aconitum napellus,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
31,Aconitum soongoricum,Aconitum soongoricum,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
32,Acorus tatarinowii,Acorus tatarinowii,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
33,Acridine derivatives,Acridine derivatives,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
34,Acrylamide,Acrylamide,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
35,Acrylates,Acrylates,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
36,Actaea simplex,Actaea simplex,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
37,Actinoquinol,Actinoquinol,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
38,Adamantane derivatives,Adamantane derivatives,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
39,Adefovir,Adefovir,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
40,Ademetionine,Ademetionine,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
41,Adenine,Adenine,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
42,Adenosine,Adenosine,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
43,Adiphenine,Adiphenine,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
44,Adipic acid and its esters or salts,Adipic acid and its esters or salts,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
45,Adrenalone,Adrenalone,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
46,Adrenocorticotrophic hormones,Adrenocorticotrophic hormones,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
47,Adrogolide,Adrogolide,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
48,Afovirsen,Afovirsen,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
49,African oil palm,African oil palm,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
50,Agalsidase,Agalsidase,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
51,Agmatine,Agmatine,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
52,Agrimony,Agrimony,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
53,Ajowan caraway,Ajowan caraway,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
54,Albizia,Albizia,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
55,Albumins,Albumins,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
56,Alfalfa,Alfalfa,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
57,Alginic acid and alginates,Alginic acid and alginates,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
58,Aliskiren,Aliskiren,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
59,Alisma orientale,Alisma orientale,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
60,Alisma plantago-aquatica,Alisma plantago-aquatica,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
61,Alizapride,Alizapride,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
62,Alkanet,Alkanet,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
63,Alkyl sulfonates,Alkyl sulfonates,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
64,Allium plants and substances,Allium plants and substances,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
65,Alloclamide,Alloclamide,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
66,Allspice,Allspice,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
67,Almitrine,Almitrine,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
68,Almond,Almond,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
69,Alpha-blockers (benzenesulfonamides),Alpha-blockers (benzenesulfonamides),http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
70,Alpha-blockers (quinazoline derivatives),Alpha-blockers (quinazoline derivatives),http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
71,Alpha-glucosidase inhibitor,Alpha-glucosidase inhibitor,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
72,Alpinia,Alpinia,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
73,Altinicline,Altinicline,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
74,Aluminium compounds,Aluminium compounds,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
75,Alvameline,Alvameline,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
76,Alverine,Alverine,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
77,Alvimopan,Alvimopan,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
78,Amaranth,Amaranth,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
79,Ambenonium chloride,Ambenonium chloride,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
80,Ambroxol,Ambroxol,http://fhir.hie.moh.gov.my/CodeSystem/allergy-code-my-core,CodeSystemAllergyCodeMyCore
