code,display,definition,system_url,system_name
10,QUESTIONNAIRE AUDITORY PERFORMANCE/DEVELOPMENT EVALUATION,QUESTIONNAIRE AUDITORY PERFORMANCE/DEVELOPMENT EVALUATION,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
11,SPEECH 6 LING'S SOUND TEST,SPEECH 6 LING'S SOUND TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
12,SPEECH HINT,SPEECH HINT,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
13,SPEECH QUICK SIN TEST,SPEECH QUICK SIN TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
14,SPEECH DICHOTIC TEST,SPEECH DICHOTIC TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
15,SPEECH RAPID COMPRESSED TEST,SPEECH RAPID COMPRESSED TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
16,SPEECH WORKING MEMORY TEST,SPEECH WORKING MEMORY TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
17,SPEECH GIN TEST,SPEECH GIN TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
18,SPEECH FREQUENCY/PITCH PATTERN SEQUENCE TEST,SPEECH FREQUENCY/PITCH PATTERN SEQUENCE TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
19,SPEECH DIURATION PATTERN SEQUENCE TEST,SPEECH DIURATION PATTERN SEQUENCE TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
20,SPEECH DICHOTIC LISTENING TEST,SPEECH DICHOTIC LISTENING TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
21,SPEECH TEST OF MONAURAL LOW-REDUNDANCY SPEECH PERCEPTION,SPEECH TEST OF MONAURAL LOW-REDUNDANCY SPEECH PERCEPTION,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
22,SPEECH AUDITORY DISCRIMINATION TEST,SPEECH AUDITORY DISCRIMINATION TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
23,SPEECH TEST OF LOCALIZATION AND LATERALIZATION AND OTHER BINAURAL FUNCTIONS,SPEECH TEST OF LOCALIZATION AND LATERALIZATION AND OTHER BINAURAL FUNCTIONS,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
24,QUESTIONNAIRE ABEL,QUESTIONNAIRE ABEL,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
25,QUESTIONNAIRE CHILD,QUESTIONNAIRE CHILD,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
26,QUESTIONNAIRE COW,QUESTIONNAIRE COW,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
27,QUESTIONNAIRE ELF,QUESTIONNAIRE ELF,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
28,QUESTIONNAIRE IT-MAIS,QUESTIONNAIRE IT-MAIS,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
29,QUESTIONNAIRE GASP,QUESTIONNAIRE GASP,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
30,QUESTIONNAIRE MUSS,QUESTIONNAIRE MUSS,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,CodeSystemAudiologyAuralRehabilitationMyCore
