code,display,definition,system_url,system_name
10,Exs-R (Exercise - Resisted),Exs-R (Exercise - Resisted),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
11,GE (Group Exs),GE (Group Exs),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
12,CTE (Circuit Training Exs),CTE (Circuit Training Exs),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
13,AMB (Ambulation),AMB (Ambulation),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
14,FA (Functional Activities),FA (Functional Activities),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
15,BAT (Balance Training),BAT (Balance Training),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
16,G (Gait Training),G (Gait Training),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
17,TBE (Therapeutic Ball Exs),TBE (Therapeutic Ball Exs),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
18,APNE (Ante Post Natal Exs),APNE (Ante Post Natal Exs),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
19,PFME (Pelvic Floor Mus. Exs),PFME (Pelvic Floor Mus. Exs),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
20,Mat Activity,Mat Activity,http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
21,ME (Mechanical Exs),ME (Mechanical Exs),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
22,Bicycle (Ergometer / Recumbent Bike),Bicycle (Ergometer / Recumbent Bike),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
23,T (Treadmill),T (Treadmill),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
24,Motorised cycle,Motorised cycle,http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
25,STH (Suspension Therapy),STH (Suspension Therapy),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
26,Tilt table Activity,Tilt table Activity,http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
27,Cryotherapy by Air,Cryotherapy by Air,http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
28,C (Cryocuff),C (Cryocuff),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
29,IP (Ice Pack),IP (Ice Pack),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
30,HP (Hotpack),HP (Hotpack),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
31,WB (Wax Bath),WB (Wax Bath),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
32,IRR (Infrared Therapy),IRR (Infrared Therapy),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
33,CT (Cervical Traction),CT (Cervical Traction),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
34,LTR (Lumbar Traction),LTR (Lumbar Traction),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
35,CPM (Cont. Pass. Motion),CPM (Cont. Pass. Motion),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
36,Supportive,Supportive,http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
37,Compression,Compression,http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,CodeSystemClinicPhysiotherapyMyCore
