code,display,definition,system_url,system_name
q-dengue-checklist,Dengue Checklist,Dengue Checklist,http://fhir.hie.moh.gov.my/CodeSystem/composition-event-my-core,CodeSystemCompositionEventMYCore
q-dengue-checklist-a,Dengue Checklist-a,Detailed Dengue Checklist,http://fhir.hie.moh.gov.my/CodeSystem/composition-event-my-core,CodeSystemCompositionEventMYCore
q-tb-note,Tuberculosis Clerking Note,Tuberculosis Clerking Note,http://fhir.hie.moh.gov.my/CodeSystem/composition-event-my-core,CodeSystemCompositionEventMYCore
q-hpt-note,Hypertension Clerking Note,Hypertension Clerking Note,http://fhir.hie.moh.gov.my/CodeSystem/composition-event-my-core,CodeSystemCompositionEventMYCore
74207-2,Prehospital Medical Note,Prehospital Medical Note,http://fhir.hie.moh.gov.my/CodeSystem/composition-event-my-core,CodeSystemCompositionEventMYCore
maternal-postmx,"Postnatal issues, management & treatment","Postnatal issues, management & treatment",http://fhir.hie.moh.gov.my/CodeSystem/composition-event-my-core,CodeSystemCompositionEventMYCore
maternal-lk,Pemerikasaan Kandungan Semasa (Lawatan Klinik),Pemerikasaan Kandungan Semasa (Lawatan Klinik),http://fhir.hie.moh.gov.my/CodeSystem/composition-event-my-core,CodeSystemCompositionEventMYCore
maternal-lr,Pemerikasaan Kandungan Semasa (Lawatan Rumah),Pemerikasaan Kandungan Semasa (Lawatan Rumah),http://fhir.hie.moh.gov.my/CodeSystem/composition-event-my-core,CodeSystemCompositionEventMYCore
maternal-rme-1,Routine Medical Exam 1 (RME 1),Routine Medical Exam 1 (RME 1),http://fhir.hie.moh.gov.my/CodeSystem/composition-event-my-core,CodeSystemCompositionEventMYCore
maternal-rme-2,Routine Medical Exam 2 (RME 2),Routine Medical Exam 2 (RME 2),http://fhir.hie.moh.gov.my/CodeSystem/composition-event-my-core,CodeSystemCompositionEventMYCore
maternal-rme-add,Additional Medical Exam,Additional Medical Exam,http://fhir.hie.moh.gov.my/CodeSystem/composition-event-my-core,CodeSystemCompositionEventMYCore
