code,display,definition,system_url,system_name
11,11,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
12,12,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
13,13,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
14,14,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
15,15,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
16,16,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
17,17,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
18,18,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
21,21,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
22,22,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
23,23,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
24,24,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
25,25,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
26,26,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
27,27,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
28,28,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
31,31,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
32,32,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
33,33,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
34,34,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
35,35,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
36,36,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
37,37,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
38,38,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
41,41,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
42,42,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
43,43,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
44,44,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
45,45,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
46,46,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
47,47,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
48,48,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
51,51,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
52,52,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
53,53,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
54,54,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
55,55,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
61,61,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
62,62,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
63,63,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
64,64,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
65,65,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
71,71,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
72,72,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
73,73,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
74,74,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
75,75,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
81,81,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
82,82,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
83,83,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
84,84,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
85,85,,http://fhir.hie.moh.gov.my/CodeSystem/dentitian-my-core,CodeSystemDentitianMyCore
