code,display,definition,system_url,system_name
0,No Information,No Information,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0101,Batu Pahat,Batu Pahat,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0102,Johor Bahru,Johor Bahru,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0103,Kluang,Kluang,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0104,Kota Tinggi,Kota Tinggi,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0105,Mersing,Mersing,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0106,Muar,Muar,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0107,Pontian,Pontian,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0108,Segamat,Segamat,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0121,Kulai,Kulai,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0122,Tangkak,Tangkak,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0201,Baling,Baling,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0202,Bandar Baharu,Bandar Baharu,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0203,Kota Setar,Kota Setar,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0204,Kuala Muda,Kuala Muda,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0205,Kubang Pasu,Kubang Pasu,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0206,Kulim,Kulim,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0207,Langkawi,Langkawi,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0208,Padang Terap,Padang Terap,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0209,Sik,Sik,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0210,Yan,Yan,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0211,Pendang,Pendang,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0212,Pokok Sena,Pokok Sena,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0301,Bachok,Bachok,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0302,Kota Bharu,Kota Bharu,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0303,Machang,Machang,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0304,Pasir Mas,Pasir Mas,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0305,Pasir Puteh,Pasir Puteh,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0306,Tanah Merah,Tanah Merah,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0307,Tumpat,Tumpat,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0308,Gua Musang,Gua Musang,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0309,Kuala Krai,Kuala Krai,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0310,Jeli,Jeli,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0401,Alor Gajah,Alor Gajah,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0402,Jasin,Jasin,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0403,Melaka Tengah,Melaka Tengah,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0501,Jelebu,Jelebu,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0502,Kuala Pilah,Kuala Pilah,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0503,Port Dickson,Port Dickson,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0504,Rembau,Rembau,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0505,Seremban,Seremban,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0506,Tampin,Tampin,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0507,Jempol,Jempol,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0601,Bentong,Bentong,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0602,Cameron Highlands,Cameron Highlands,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0603,Jerantut,Jerantut,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0604,Kuantan,Kuantan,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0605,Lipis,Lipis,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0606,Pekan,Pekan,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
0607,Raub,Raub,http://fhir.hie.moh.gov.my/CodeSystem/district-my-core,CodeSystemDistrictMyCore
