code,display,definition,system_url,system_name
CART,Cartridge,Cartridge,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
CRYS,Crystal,Crystal,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
DROP,Liq Drop,Liq Drop,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
E01,Otic Drop(s),Otic Drop(s),http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
E02,Otic Insert,Otic Insert,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
E03,Otic Ointment,Otic Ointment,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
E04,Otic Powder,Otic Powder,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
E05,Otic Spray,Otic Spray,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
E06,Otic Washes,Otic Washes,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
J01,Parenteral Implant,Parenteral Implant,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
J02,Parenteral Irrig Sol,Parenteral Irrig Sol,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
J03,Powder for IV Soln,Powder for IV Soln,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
J04,Parenteral Solution,Parenteral Solution,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
J05,Parenteral Susp,Parenteral Susp,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
L01,Oral Drop(s),Oral Drop(s),http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
L02,Oral Emulsion,Oral Emulsion,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
L03,Oral Herbal Tea,Oral Herbal Tea,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
L04,Oral Medicated Wine,Oral Medicated Wine,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
L05,Oral Solution,Oral Solution,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
L06,Oral Suspension,Oral Suspension,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
M01,SL/BUC/OMC Cap,SL/BUC/OMC Cap,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
M02,SL/BUC/OMC Drops,SL/BUC/OMC Drops,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
M03,SL/BUC/OMC Gel,SL/BUC/OMC Gel,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
M04,SL/BUC/OMC Gum,SL/BUC/OMC Gum,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
M05,SL/BUC/OMC Lozenges,SL/BUC/OMC Lozenges,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
M06,SL/BUC/OMC MR Tablet,SL/BUC/OMC MR Tablet,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
M07,SL/BUC/OMC Mouthwash,SL/BUC/OMC Mouthwash,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
M08,SL/BUC/OMC Pastille,SL/BUC/OMC Pastille,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
M09,SL/BUC/OMC Susp Powd,SL/BUC/OMC Susp Powd,http://fhir.hie.moh.gov.my/CodeSystem/drug-dose-form-my-core,CodeSystemDrugDoseFormMyCore
