code,display,definition,system_url,system_name
PNA00001,"Nutriflex Lipid Peri 955kcal,1.25L","Nutriflex Lipid Peri 955kcal,1.25L",http://fhir.hie.moh.gov.my/CodeSystem/drug-my-core,CodeSystemDrugMyCore
PNA00020,"Smof Kabiven Peripheral 1000kcal, 1.5L","Smof Kabiven Peripheral 1000kcal, 1.5L",http://fhir.hie.moh.gov.my/CodeSystem/drug-my-core,CodeSystemDrugMyCore
PNA00014,"Kabiven Periferal 1000kcal, 1.5L","Kabiven Periferal 1000kcal, 1.5L",http://fhir.hie.moh.gov.my/CodeSystem/drug-my-core,CodeSystemDrugMyCore
PNA00015,"Kabiven Periferal 1400kcal, 2.0L","Kabiven Periferal 1400kcal, 2.0L",http://fhir.hie.moh.gov.my/CodeSystem/drug-my-core,CodeSystemDrugMyCore
PNA00013,"Kabiven Central 1900kcal, 2.053L","Kabiven Central 1900kcal, 2.053L",http://fhir.hie.moh.gov.my/CodeSystem/drug-my-core,CodeSystemDrugMyCore
PNA00009,"Nutriflex Lipid Special 2215kcal, 1.875L","Nutriflex Lipid Special 2215kcal, 1.875L",http://fhir.hie.moh.gov.my/CodeSystem/drug-my-core,CodeSystemDrugMyCore
PNA00021,"Smof Kabiven Peripheral 1300kcal, 1.9L","Smof Kabiven Peripheral 1300kcal, 1.9L",http://fhir.hie.moh.gov.my/CodeSystem/drug-my-core,CodeSystemDrugMyCore
PNA00018,"Smof Kabiven Central 2200kcal, 2.0L","Smof Kabiven Central 2200kcal, 2.0L",http://fhir.hie.moh.gov.my/CodeSystem/drug-my-core,CodeSystemDrugMyCore
PNA00003,"Nutriflex Lipid Peri 1910kcal, 2.5L","Nutriflex Lipid Peri 1910kcal, 2.5L",http://fhir.hie.moh.gov.my/CodeSystem/drug-my-core,CodeSystemDrugMyCore
PNA00017,"Smof Kabiven Central 1600kcal, 1.5L","Smof Kabiven Central 1600kcal, 1.5L",http://fhir.hie.moh.gov.my/CodeSystem/drug-my-core,CodeSystemDrugMyCore
PNA00002,"Nutriflex Lipid Peri 1435kcal,1.875L","Nutriflex Lipid Peri 1435kcal,1.875L",http://fhir.hie.moh.gov.my/CodeSystem/drug-my-core,CodeSystemDrugMyCore
PNA00011,Kabiven Central 900kcal 1.026L,Kabiven Central 900kcal 1.026L,http://fhir.hie.moh.gov.my/CodeSystem/drug-my-core,CodeSystemDrugMyCore
PNA00012,"Kabiven Central 1400kcal, 1.54L","Kabiven Central 1400kcal, 1.54L",http://fhir.hie.moh.gov.my/CodeSystem/drug-my-core,CodeSystemDrugMyCore
PNA00010,"Nutriflex Lipid Special 2950kcal, 2.5L","Nutriflex Lipid Special 2950kcal, 2.5L",http://fhir.hie.moh.gov.my/CodeSystem/drug-my-core,CodeSystemDrugMyCore
