code,display,definition,system_url,system_name
10,Administer 15-30 minutes before _______________,Administer 15-30 minutes before _______________,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
20,Administer at the same time everyday,Administer at the same time everyday,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
30,Administer within 15-30 mins before meal,Administer within 15-30 mins before meal,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
40,Administer within 5-15 minutes before meal,Administer within 5-15 minutes before meal,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
50,Apply 6-8 hours then wash. Only 1 application is necessary,Apply 6-8 hours then wash. Only 1 application is necessary,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
60,Apply liberally to lesion with suitable applicator,Apply liberally to lesion with suitable applicator,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
70,Apply sparingly. For external use only.,Apply sparingly. For external use only.,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
80,Apply to affected area. Leave to dry,Apply to affected area. Leave to dry,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
90,Apply to hair-free area of skin on chest or inner side arm,Apply to hair-free area of skin on chest or inner side arm,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
100,Apply to lesion for not more than 5 hour then wash off,Apply to lesion for not more than 5 hour then wash off,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
110,Apply to wet hair leave for 15min rinse.,Apply to wet hair leave for 15min rinse.,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
114,"Avoid abrupt withdrawal, use as directed by doctor/pharmacist","Avoid abrupt withdrawal, use as directed by doctor/pharmacist",http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
120,Careful handwashing after use is recommended,Careful handwashing after use is recommended,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
130,Chew or dissolve with water,Chew or dissolve with water,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
140,Chew thoroughly before swallowing,Chew thoroughly before swallowing,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
150,Cleanse area with water only allow to dry prior application,Cleanse area with water only allow to dry prior application,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
160,Contact doctor if allergic reaction occurs,Contact doctor if allergic reaction occurs,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
170,Day 4-7: Take 1 white tablet (0.5mg) 2 times a day,Day 4-7: Take 1 white tablet (0.5mg) 2 times a day,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
180,Dilute up to 3 times its volume with warm water,Dilute up to 3 times its volume with warm water,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
190,Dilute with 1 glass of water before drink,Dilute with 1 glass of water before drink,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
200,Dilute with glass of water/juice/milk and drink,Dilute with glass of water/juice/milk and drink,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
210,Discard after 1 month of opening. EXP DATE:,Discard after 1 month of opening. EXP DATE:,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
214,Dilute well with water before taking,Dilute well with water before taking,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
220,Dissolve in 1 glass water and drink,Dissolve in 1 glass water and drink,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
222,Do not apply to open wounds or burnt,Do not apply to open wounds or burnt,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
230,Do not eat/drink for 10minutes after taking this drug,Do not eat/drink for 10minutes after taking this drug,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
234,Do not dilute with Saline Solution (Sodium Chloride),Do not dilute with Saline Solution (Sodium Chloride),http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
236,Do not stop medicine without doctor's advice,Do not stop medicine without doctor's advice,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
238,Do not take more than 8 tablets a day,Do not take more than 8 tablets a day,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
240,Drink plenty of warm water,Drink plenty of warm water,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
250,Drink plenty of water,Drink plenty of water,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
260,Followed by another 240ml of water.,Followed by another 240ml of water.,http://fhir.hie.moh.gov.my/CodeSystem/drug-special-instruction-my-core,CodeSystemDrugSpecialInstructionMyCore
