code,display,definition,system_url,system_name
000,No Information,No Information,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
002,Abdomen,Abdomen,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
003,KUB,KUB,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
005,Chest,Chest,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
006,Chest ( AP Long Line - Paeds),Chest ( AP Long Line - Paeds),http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
008,Acromio Clavicular Joint,Acromio Clavicular Joint,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
009,Ankle Joint Right,Ankle Joint Right,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
010,Ankle Joint Left,Ankle Joint Left,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
011,Both Upper Limbs- Paediatric - Bone Length Measurement (AP),Both Upper Limbs- Paediatric - Bone Length Measurement (AP),http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
012,Both Lower Limbs- Paediatric - Bone Length Measurement,Both Lower Limbs- Paediatric - Bone Length Measurement,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
013,Calcaneum Right,Calcaneum Right,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
014,Calcaneum Left,Calcaneum Left,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
015,Clavicle Right,Clavicle Right,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
016,Clavicle Left,Clavicle Left,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
017,Elbow Joint Right,Elbow Joint Right,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
018,Elbow Joint Left,Elbow Joint Left,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
019,Femur Right X,Femur Right X,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
020,Femur Left X Ray,Femur Left X Ray,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
021,Fingers Right X Ray,Fingers Right X Ray,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
022,Fingers Left X Ray,Fingers Left X Ray,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
023,Foot Right,Foot Right,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
024,Foot Left,Foot Left,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
025,Hand Right,Hand Right,http://fhir.hie.moh.gov.my/CodeSystem/imaging-my-core,CodeSystemImagingMyCore
