code,display,definition,system_url,system_name
001,ABDOMEN,ABDOMEN,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
004,CHEST,CHEST,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
007,EXTREMITIES,EXTREMITIES,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
049,PELVIS,PELVIS,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
052,SKELETAL SURVEY,SKELETAL SURVEY,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
062,SKULL & FACIAL BONES,SKULL & FACIAL BONES,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
079,SPINES,SPINES,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
089,ABDOMEN (Mobile),ABDOMEN (Mobile),http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
091,CHEST (Mobile),CHEST (Mobile),http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
093,EXTREMITIES (Mobile),EXTREMITIES (Mobile),http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
120,PELVIS (Mobile),PELVIS (Mobile),http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
122,SKELETAL SURVEY - Infant (Mobile),SKELETAL SURVEY - Infant (Mobile),http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
124,SKULL (Mobile),SKULL (Mobile),http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
126,SPINE (Mobile),SPINE (Mobile),http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
132,ABDOMEN,ABDOMEN,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
139,CTA,CTA,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
150,ARTHROGRAM,ARTHROGRAM,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
158,EXTREMITIES,EXTREMITIES,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
176,HEAD AND NECK,HEAD AND NECK,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
194,TMJ (Temporo-Mandibular Joints),TMJ (Temporo-Mandibular Joints),http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
196,PELVIS,PELVIS,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
198,SPINES,SPINES,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
206,THORAX,THORAX,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
214,OTHERS,OTHERS,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
217,ABDOMEN,ABDOMEN,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
219,MRA (MR ANGIOGRAPHY),MRA (MR ANGIOGRAPHY),http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
230,MRV (MR VENOGRAPHY),MRV (MR VENOGRAPHY),http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
235,MRI ARTHROGRAM,MRI ARTHROGRAM,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
243,BREAST,BREAST,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
245,DYNAMIC,DYNAMIC,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
250,EXTREMITIES,EXTREMITIES,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
276,FUNCTIONAL,FUNCTIONAL,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
280,HEAD & NECK,HEAD & NECK,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
294,HEPATOBILLIARY SYSTEM,HEPATOBILLIARY SYSTEM,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
297,MRI PELVIS,MRI PELVIS,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
303,MRI SPINES,MRI SPINES,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
309,MRI THORAX,MRI THORAX,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
312,URINARY SYSTEM,URINARY SYSTEM,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
317,OTHERS,OTHERS,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
321,BREAST (MAMMOGRAPHY),BREAST (MAMMOGRAPHY),http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
327,ANATOMICAL REGION,ANATOMICAL REGION,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
334,BREAST,BREAST,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
336,CNS,CNS,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
341,CIRCULATORY SYSTEM - ARTERIES,CIRCULATORY SYSTEM - ARTERIES,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
352,CIRCULATORY SYSTEM - VEINS,CIRCULATORY SYSTEM - VEINS,http://fhir.hie.moh.gov.my/CodeSystem/imaging-region-my-core,CodeSystemImagingRegionMyCore
