code,display,definition,system_url,system_name
00,No Information,No Information,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
01,Immune Stain,Immune Stain,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
02,Other stain,Other stain,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
03,Masson Trichrome,Masson Trichrome,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
04,Alcian Blue PAS,Alcian Blue PAS,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
05,PAS,PAS,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
06,PAS+D,PAS+D,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
07,Mucincarmine,Mucincarmine,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
08,AFB,AFB,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
09,Wade Fite,Wade Fite,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
10,Giemsa,Giemsa,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
11,Gram Stain,Gram Stain,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
12,Luxol Fast Blue,Luxol Fast Blue,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
13,Methanamine,Methanamine,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
14,Van Gieson,Van Gieson,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
15,Verhoeff-Van Gieson,Verhoeff-Van Gieson,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
16,Reticulin,Reticulin,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
17,Von Kossa stain,Von Kossa stain,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
18,Fouchet stain,Fouchet stain,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
19,Congo red stain,Congo red stain,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
20,Oil red O stain,Oil red O stain,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
21,Masson Fontana,Masson Fontana,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
22,Rhodamine stain,Rhodamine stain,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
23,Bielschowsky stain,Bielschowsky stain,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
24,PTAH,PTAH,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
25,Grimelius,Grimelius,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
26,Touludine Blue,Touludine Blue,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
27,Alcian Blue,Alcian Blue,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
28,Melanin Bleach,Melanin Bleach,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
29,Sudan IV,Sudan IV,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
30,Crystal Violet,Crystal Violet,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
31,Molgen,Molgen,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
32,FISH,FISH,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
33,Wet preparation,Wet preparation,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
34,Gram stain,Gram stain,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
35,Manual,Manual,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
36,Latex agglutination,Latex agglutination,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
37,Rapid ICT,Rapid ICT,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
38,Culture,Culture,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
39,Agar diffusion,Agar diffusion,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
40,Gradient strip,Gradient strip,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
41,MIC,MIC,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
42,Gradient strip ARD,Gradient strip ARD,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
43,PCR,PCR,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
44,Probe.amp.tar,Probe.amp.tar,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
45,Molecular,Molecular,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
46,Latex agglutination,Latex agglutination,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
47,ZN Stain,ZN Stain,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
48,IF Stain,IF Stain,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
49,Modified ZN,Modified ZN,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
50,IF,IF,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
51,IA,IA,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
52,ICT(Immunochromatographic),ICT(Immunochromatographic),http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
53,Floculation,Floculation,http://fhir.hie.moh.gov.my/CodeSystem/lab-method-my-core,CodeSystemLabMethodMyCore
