code,display,definition,system_url,system_name
58410-2,Full Blood Count (FBC),CBC panel - Blood by Automated count,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
600-7,Blood Culture & Sensitivity (Blood C&S),Bacteria identified in Blood by Culture,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
630-4,Urine Culture & Sensitivity (Urine C&S),Bacteria identified in Urine by Culture,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
24331-1,Lipid Profile (LP),Lipid 1996 panel - Serum or Plasma,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
6462-6,Wound Culture & Sensitivity (Wound C&S),Bacteria identified in Wound by Culture,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
24357-6,Urine Dipstick,Urinalysis macro (dipstick) panel - Urine,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
24356-8,Urine Full Examination Microscopic Examination (UFEME),Urinalysis complete panel - Urine,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
24325-3,Liver Function Test (LFT),Hepatic function 2000 panel - Serum or Plasma,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
24362-6,Renal Profile (RP),Renal function 2000 panel - Serum or Plasma,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
543-9,AFB Culture & Sensitivity (AFB C&S),Mycobacterium sp identified in Specimen by Organism specific culture,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
24336-0,Gas panel - Arterial blood,Gas panel - Arterial blood,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
580-1,Fungal Culture & Sensitivity (Fungal C&S),Fungus identified in Specimen by Culture,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
58431-8,Microalbumin panel (24H U),Microalbumin panel - 24 hour Urine,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
13969-1,Creatine kinase.MB (CKMB),Creatine kinase.MB [Mass/volume] in Serum or Plasma,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
19123-9,Magnesium,Magnesium [Mass/volume] in Serum or Plasma,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
54089-8,Newborn screening panel,Newborn screening panel American Health Information Community (AHIC),http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
2777-1,Phosphate,Phosphate [Mass/volume] in Serum or Plasma,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
10839-9,Troponin I.cardiac (Trop I),Troponin I.cardiac [Mass/volume] in Serum or Plasma,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
664-3,Microscopic observation (Gram Stain),Microscopic observation [Identifier] in Specimen by Gram stain,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
634-6,Aerobic Culture & Sensitivity (Aerobic C&S),Bacteria identified in Specimen by Aerobe culture,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
14979-9,Coagulation surface induced (aPTT),aPTT in Platelet poor plasma by Coagulation assay,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
624-7,Respiratory Culture & Sensitivity (Respiratory C&S),Bacteria identified in Sputum by Respiratory culture,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
50190-8,Iron & Iron binding capacity panel (Iron+TIBC),Iron and Iron binding capacity panel - Serum or Plasma,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
1989-3,Calcidiol,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
41653-7,Glucose Glucometer,Glucose [Mass/volume] in Capillary blood by Glucometer,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
32016-8,Glucose (Blood Capillary),Glucose [Mass/volume] in Capillary blood,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
18481-2,Streptococcus pyogenes Ag,Streptococcus pyogenes Ag [Presence] in Throat,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
3040-3,Triacylglycerol lipase,Lipase [Enzymatic activity/volume] in Serum or Plasma,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
11580-8,Thyrotropin (TSH DL),Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
3026-2,Thyroxine (T4),Thyroxine (T4) [Mass/volume] in Serum or Plasma,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
611-4,Fluid Culture & Sensitivity (Fluid C&S),Bacteria identified in Body fluid by Culture,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
4548-4,Hemoglobin A1c/Hemoglobin.total (HbA1c),Hemoglobin A1c/Hemoglobin.total in Blood,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
18282-4,Cannabinoids,Cannabinoids [Presence] in Urine by Screen method,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
625-4,Stool Culture & Sensitivity (Stool C&S),Bacteria identified in Stool by Culture,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
34528-0,Pro Thrombin (PT),PT panel - Platelet poor plasma by Coagulation assay,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
35492-8,Staphylococcus aureus.methicillin resistant DNA (MRSA DNA),Methicillin resistant Staphylococcus aureus (MRSA) DNA [Presence] in Specimen by NAA with probe detection,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
30167-1,Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+68 DNA (HPV),Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+68 DNA [Presence] in Cervix by Probe with signal amplification,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
2160-0,Creatinine,Creatinine [Mass/volume] in Serum or Plasma,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
2157-6,Creatine kinase (CK),Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
30934-4,Natriuretic peptide.B (BNP),Natriuretic peptide B [Mass/volume] in Serum or Plasma,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
2885-2,Protein,Protein [Mass/volume] in Serum or Plasma,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
635-3,Anaerobe Culture & Sensitivity (Anaerobe C&S),Bacteria identified in Specimen by Anaerobe culture,http://fhir.hie.moh.gov.my/CodeSystem/lab-my-core,CodeSystemLabMyCore
