code,display,definition,system_url,system_name
0,No Information,No Information,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C001,Tun,Tun,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C002,Tan Sri,Tan Sri,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C003,Tan Sri Dato',Tan Sri Dato',http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C004,Tan Sri Dato' Dr,Tan Sri Dato' Dr,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C005,Tan Sri Dato' Ir,Tan Sri Dato' Ir,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C006,Tan Sri Dato Seri,Tan Sri Dato Seri,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C007,Tan Sri Datuk,Tan Sri Datuk,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C008,Tan Sri Datuk Dr,Tan Sri Datuk Dr,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C009,Tan Sri Datuk Professor,Tan Sri Datuk Professor,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C010,Tan Sri Datuk Professor Dr,Tan Sri Datuk Professor Dr,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C011,Tan Sri Dr,Tan Sri Dr,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C012,Tan Sri General,Tan Sri General,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C013,Tan Sri Professor,Tan Sri Professor,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C014,Dato',Dato',http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C015,Dato' Dr,Dato' Dr,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C016,Dato' Ir,Dato' Ir,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C017,Dato' Ir Dr,Dato' Ir Dr,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C018,Dato' Paduka Dr,Dato' Paduka Dr,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C019,Dato' Professor Madya Dr,Dato' Professor Madya Dr,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C020,Dato' Senara Muda,Dato' Senara Muda,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C021,Dato' Seri,Dato' Seri,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C022,Dato' Sri,Dato' Sri,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C024,Datuk,Datuk,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C025,Datuk Amar,Datuk Amar,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C026,Datuk Bentara Luar,Datuk Bentara Luar,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C027,Datuk Bentara Raja,Datuk Bentara Raja,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C028,Datuk Dr,Datuk Dr,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C029,Datuk Ir,Datuk Ir,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C030,Datuk Patinggi,Datuk Patinggi,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C031,Datuk Professor,Datuk Professor,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C032,Datuk Professor Dr,Datuk Professor Dr,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C033,Datuk Setia,Datuk Setia,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C034,Datuk Setia Wangsa,Datuk Setia Wangsa,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C035,Datuk Sri,Datuk Sri,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
C036,Datuk Sri Amar DiRaja,Datuk Sri Amar DiRaja,http://fhir.hie.moh.gov.my/CodeSystem/person-title-my-core,CodeSystemPersonTitleMyCore
