code,display,definition,system_url,system_name
10AM,at 10 AM,pada jam 10 pagi,http://fhir.hie.moh.gov.my/CodeSystem/phis-frequency-my-core,CodeSystemPhisFrequencyMyCore
10PM,at 10 PM,pada jam 10 malam,http://fhir.hie.moh.gov.my/CodeSystem/phis-frequency-my-core,CodeSystemPhisFrequencyMyCore
1Q10WK,Once every 10 weeks,1 kali setiap 10 minggu,http://fhir.hie.moh.gov.my/CodeSystem/phis-frequency-my-core,CodeSystemPhisFrequencyMyCore
1Q12WK,Once every 12 weeks,1 kali setiap 12 minggu,http://fhir.hie.moh.gov.my/CodeSystem/phis-frequency-my-core,CodeSystemPhisFrequencyMyCore
1Q1M,Once a month,1 kali sebulan,http://fhir.hie.moh.gov.my/CodeSystem/phis-frequency-my-core,CodeSystemPhisFrequencyMyCore
1Q1WK,Once a week,1 kali seminggu (hari ____________),http://fhir.hie.moh.gov.my/CodeSystem/phis-frequency-my-core,CodeSystemPhisFrequencyMyCore
1Q2M,Once every 2 months,1 kali setiap 2 bulan,http://fhir.hie.moh.gov.my/CodeSystem/phis-frequency-my-core,CodeSystemPhisFrequencyMyCore
1Q2WK,Once every 2 weeks,1 kali setiap 2 minggu,http://fhir.hie.moh.gov.my/CodeSystem/phis-frequency-my-core,CodeSystemPhisFrequencyMyCore
1Q3M,every 3 month,Setiap 3 bulan,http://fhir.hie.moh.gov.my/CodeSystem/phis-frequency-my-core,CodeSystemPhisFrequencyMyCore
1Q3WK,Once every 3 weeks,1 kali setiap 3 minggu,http://fhir.hie.moh.gov.my/CodeSystem/phis-frequency-my-core,CodeSystemPhisFrequencyMyCore
1Q4WK,Once every 4 weeks,1 kali setiap 4 minggu,http://fhir.hie.moh.gov.my/CodeSystem/phis-frequency-my-core,CodeSystemPhisFrequencyMyCore
1Q5WK,Once every 5 weeks,1 kali setiap 5 minggu,http://fhir.hie.moh.gov.my/CodeSystem/phis-frequency-my-core,CodeSystemPhisFrequencyMyCore
1Q6M,every 6 months,1 kali setiap 6 bulan,http://fhir.hie.moh.gov.my/CodeSystem/phis-frequency-my-core,CodeSystemPhisFrequencyMyCore
1Q8WK,Once every 8 weeks,1 kali setiap 8 minggu,http://fhir.hie.moh.gov.my/CodeSystem/phis-frequency-my-core,CodeSystemPhisFrequencyMyCore
2PM,at 2 PM,pada jam 2 petang,http://fhir.hie.moh.gov.my/CodeSystem/phis-frequency-my-core,CodeSystemPhisFrequencyMyCore
2XWK,2 times a week,2 kali seminggu (hari ______ &________),http://fhir.hie.moh.gov.my/CodeSystem/phis-frequency-my-core,CodeSystemPhisFrequencyMyCore
