code,display,definition,system_url,system_name
BATH,Bath,Guna sebagai sabun mandi,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
BUCC,Buccal,Buccal,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
CHEW,Chew,Dikunyah,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
DABS,Dabs,Disapu,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
DRES,for dressing,Cuci luka,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
EARB,Ear Both,Dalam Telinga Kanan dan Kiri,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
EARL,Ear Left,Titis dalam Telinga KIRI,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
EARR,Ear Right,Titis dalam Telinga KANAN,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
EPID,Epidural,Epidural,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
ETIN,ET Intubation,ET Intubation,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
EXT,External,Kegunaan luar,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
EYEB,Eye Both,Dalam Mata Kanan dan Kiri,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
EYEL,Eye Left,Dalam Mata Kiri,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
EYER,Eye Right,Dalam Mata Kanan,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
GARG,Gargle,Kumur,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
IM,Intramuscular,Intramuscular,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
IMPL,Implantation,Implant,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
INAB,Intraabdominal,Intraabdominal,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
INAM,Intraamniotic,Intraamniotic,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
INAR,Intraarterial,Intraarterial,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
INAT,Intraarticular,Intraarticular,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
INCA,Intracardiac,Intracardiac,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
INCE,Intracervical,Intracervical,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
INCMR,Intracameral,Intracameral,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
INCT,Intracavity,Intracavity,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
INCV,Intracavernosal,Intracavernosal,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
INDE,Intradermal,Intradermal,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
INF,IV Infusion,IV Infusion,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
INFI,Infiltration,Infiltration,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
INH,Inhalation,Disedut,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
INLE,Intralesion,Intralesion,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
INOC,Intraocular,Intraocular,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
INOS,Intraosseous,Intraosseous,http://fhir.hie.moh.gov.my/CodeSystem/phis-route-my-core,CodeSystemPhisRouteMyCore
