code,display,definition,system_url,system_name
EA,each,each,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
FTU,finger tip unit,finger tip unit,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
IU,IU,unit,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
KIU,kallikrein inhibitor unit,kallikrein inhibitor unit,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
L,litre,litre,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
MBq,megabecquerel,megabecquerel,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
MIU,MIU,MIU,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
NA,None,None,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
PFSy,prefilled syringe/pen,prefilled syringe/pen,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
amp,ampoule,amp,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
app,application,-,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
bag,bag,bag,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
bead,beads,beads,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
bott,bottle,bottle,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
box,box,box,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
can,can,can,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
cannister,cannister,cannister,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
caplet,caplet,biji,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
capsule,capsule,biji,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
carton,carton,carton,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
cartridge,cartridge,cartridge,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
click,click,klik,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
cm,centimetre,centimetre,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
day,day,hari,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
dose,dose,dose,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
drop,drops,titis,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
drum,drum,drum,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
flex,flex,flex,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
g,gram,gram,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
hr,hour,hour,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
inj,injection,injection,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
jar,jar,jar,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
kg,kilogram,kilogram,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
kit,kit,kit,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
loz,lozenges,lozenges,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
m,metre,meter,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
mCi,milicuries,milicuries,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
mEq,mEq,mEq,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
mcg,microgram,mcg,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
mg,mg,mg,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
min,minute,minit,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
ml,ml,ml,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
mmol,millimole,mmol,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
month,month,bulan,http://fhir.hie.moh.gov.my/CodeSystem/phis-uom-my-core,CodeSystemPhisUomMyCore
