code,display,definition,system_url,system_name
GDYEY1NKXO,Assistant Enviroment Health Officer,Assistant Enviroment Health Officer,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
AMO,Assistant Medical Officer,Assistant Medical Officer,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
APHRO,Assistant Pharmacy Officer,Assistant Pharmacy Officer,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
ASDOHD,Assistant Senior Director OHD,Assistant Senior Director OHD,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
CNTRLADMIN,Centraladmin,Centraladmin,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
CASDOHD,Chief Assistant Senior Director OHD,Chief Assistant Senior Director OHD,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
CN,Community Nurse,Community Nurse,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
COMFS,Consultant Oral Maxillo Facial Specialist,Consultant Oral Maxillo Facial Specialist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
CORTHO,Consultant Orthodontist,Consultant Orthodontist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
CPAEDO,Consultant Paediatric Dentistry,Consultant Paediatric Dentistry,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
CPERIO,Consultant Periodontist,Consultant Periodontist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
CRESTO,Consultant Restorative Specialist,Consultant Restorative Specialist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
CSND,Consultant Special Needs Dentistry,Consultant Special Needs Dentistry,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
OMOAISVS8M,Counsellor,Counsellor,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
ATTd,Dental Attendant,Dental Attendant,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
CRKd,Dental Clerk,Dental Clerk,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
DO,Dental Officer,Dental Officer,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
DOI,Dental Officer Incharge,Dental Officer Incharge,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
DPHS,Dental Public Health Specialist,Dental Public Health Specialist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
DSA,Dental Surgery Assistant,Dental Surgery Assistant,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
DT,Dental Technologist,Dental Technologist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
DN,Dental Therapist,Dental Therapist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
DDOHD,Deputy Director Oral Health Division,Deputy Director Oral Health Division,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
DSHDD,Deputy State Health Director (Dental),Deputy State Health Director (Dental),http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
DTT,Dietitian,Dietitian,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
DOHCP,Director Oral Health Control and Practice,Director Oral Health Control and Practice,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
DOHD,Director Oral Health Development,Director Oral Health Development,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
DSTADMIN,District Admin,District Admin,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
DDO,District Dental Officer,District Dental Officer,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
2XL5EL5R9Y,Enviroment Health Officer,Enviroment Health Officer,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
FAADMIN,Facility Admin,Facility Admin,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
FMS,Family Medicine Specialist,Family Medicine Specialist,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
FYDO,First Year Dental Officer,First Year Dental Officer,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
ATTh,Health Attendant,Health Attendant,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
CRKh,Health Clerk,Health Clerk,http://fhir.hie.moh.gov.my/CodeSystem/practitioner-role-code-my-core,CodeSystemPractitionerRoleCodeMyCore
