code,display,definition,system_url,system_name
0,Therapeutic ultrasound,Therapeutic ultrasound,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
1,Cranial puncture,Cranial puncture,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
2,Cranioplasty,Cranioplasty,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
3,Exploration and decompression of spinal canal structures,Exploration and decompression of spinal canal structures,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
4,"Incision, division, and excision of cranial and peripheral nerves","Incision, division, and excision of cranial and peripheral nerves",http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
5,Operation on symphathetic nerves or ganglia,Operation on symphathetic nerves or ganglia,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
6,Incision of thyroid field,Incision of thyroid field,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
7,Exploration of adrenal field,Exploration of adrenal field,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
8,Incision of eyelid,Incision of eyelid,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
9,Incision of lacrimal gland,Incision of lacrimal gland,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
10,Operations on conjunctiva,Operations on conjunctiva,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
11,Operations on cornea,Operations on cornea,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
12,"Operations on iris, ciliary body, sclera, and anterior chamber","Operations on iris, ciliary body, sclera, and anterior chamber",http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
13,Operations on lens,Operations on lens,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
14,"Operations on retina, choroid, vitreous, and posterior chamber","Operations on retina, choroid, vitreous, and posterior chamber",http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
15,Operations on extraocular muscles,Operations on extraocular muscles,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
16,Operations on orbit and eyeball,Operations on orbit and eyeball,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
17,Other miscellaneous procedures,Other miscellaneous procedures,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
18,Operations on external ear,Operations on external ear,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
19,Reconstructive operations on middle ear,Reconstructive operations on middle ear,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
20,Other operations on middle and inner ear,Other operations on middle and inner ear,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
21,Operations on nose,Operations on nose,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
22,Operations on nasal sinuses,Operations on nasal sinuses,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
23,Removal and restoration of teeth,Removal and restoration of teeth,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
24,"Other operations on teeth, gums, and alveoli","Other operations on teeth, gums, and alveoli",http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
25,Operations on tongue,Operations on tongue,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
26,Operations on salivary glands and ducts,Operations on salivary glands and ducts,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
27,Other operations on mouth and face,Other operations on mouth and face,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
28,Operations on tonsils and adenoids,Operations on tonsils and adenoids,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
29,Operations on pharynx,Operations on pharynx,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
30,Excision of larynx,Excision of larynx,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
31,Other operations on larynx and trachea,Other operations on larynx and trachea,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
32,Excision of lung and bronchus,Excision of lung and bronchus,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
33,Other operations on lung and bronchus,Other operations on lung and bronchus,http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
34,"Operations on chest wall, pleura, mediastinum, and diaphragm","Operations on chest wall, pleura, mediastinum, and diaphragm",http://fhir.hie.moh.gov.my/CodeSystem/procedure-code-my-core,CodeSystemProcedureCodeMyCore
