code,display,definition,system_url,system_name
00.01,Therapeutic ultrasound of vessels of head and neck,Therapeutic ultrasound of vessels of head and neck,http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
00.02,Therapeutic ultrasound of heart,Therapeutic ultrasound of heart,http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
00.03,Therapeutic ultrasound of peripheral vascular vessels,Therapeutic ultrasound of peripheral vascular vessels,http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
00.09,Other therapeutic ultrasound,Other therapeutic ultrasound,http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
00.10,Implantation of chemotherapeutic agent,Implantation of chemotherapeutic agent,http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
00.11,Infusion of drotrecogin alfa (activated),Infusion of drotrecogin alfa (activated),http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
00.12,Administration of inhaled nitric oxide,Administration of inhaled nitric oxide,http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
00.13,Injection or infusion of nesiritide,Injection or infusion of nesiritide,http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
00.14,Injection or infusion of oxazolidinone class of antibiotics,Injection or infusion of oxazolidinone class of antibiotics,http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
00.15,High-dose infusion interleukin-2 [IL-2],High-dose infusion interleukin-2 [IL-2],http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
00.16,Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance,Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance,http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
00.17,Infusion of vasopressor agent,Infusion of vasopressor agent,http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
00.21,Intravascular imaging of extracranial cerebral vessels,Intravascular imaging of extracranial cerebral vessels,http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
00.22,Intravascular imaging of intrathoracic vessels,Intravascular imaging of intrathoracic vessels,http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
00.23,Intravascular imaging of peripheral vessels,Intravascular imaging of peripheral vessels,http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
00.24,Intravascular imaging of coronary vessels,Intravascular imaging of coronary vessels,http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
00.25,Intravascular imaging of renal vessels,Intravascular imaging of renal vessels,http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
00.28,"Intravascular imaging, other specified vessel(s)","Intravascular imaging, other specified vessel(s)",http://fhir.hie.moh.gov.my/CodeSystem/procedure-my-core,CodeSystemProcedureMyCore
