code,display,definition,system_url,system_name
001,Plain tube,Plain tube,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
002,Urine container,Urine container,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
003,24hr urine bottle with 10mL 25% HCl,24hr urine bottle with 10mL 25% HCl,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
004,Whatmann 903 Filter Paper,Whatmann 903 Filter Paper,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
005,EDTA tube,EDTA tube,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
006,Pre-chilled EDTA,Pre-chilled EDTA,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
007,Falcon tube,Falcon tube,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
008,Sodium Fluoride tube,Sodium Fluoride tube,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
009,Lithium Heparin tube,Lithium Heparin tube,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
010,K2 EDTA tube,K2 EDTA tube,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
011,Clean tube,Clean tube,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
012,Heparinised syringe,Heparinised syringe,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
013,24hr urine bottle,24hr urine bottle,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
014,EDTA tube / Heparin tube,EDTA tube / Heparin tube,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
015,Plain tube & Urine container,Plain tube & Urine container,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
016,Potassium Oxalate + Sodium Fluoride tube,Sodium Fluoride tube / Dissodium EDTA / Potassium Oxalate + Sodium Fluoride tube,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
017,Plain tube / EDTA tube,Plain tube / EDTA tube,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
018,Sodium Fluoride tube tube,Sodium Fluoride tube tube,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
019,Urine container & EDTA tube,Urine container & EDTA tube,http://fhir.hie.moh.gov.my/CodeSystem/specimen-container-type-my-core,CodeSystemSpecimenContainerTypeMyCore
