code,display,system,include_type,valueset_url,valueset_name
00,OTHERS,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
01,QUESTIONNAIRE ECHO,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
02,QUESTIONNAIRE HHIE,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
03,QUESTIONNAIRE HHIE-S,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
04,QUESTIONNAIRE IOI-HA-SO,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
05,QUESTIONNAIRE APHAB,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
06,QUESTIONNAIRE COSI,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
07,QUESTIONNAIRE FAPI,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
08,QUESTIONNAIRE SSQ,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
09,QUESTIONNAIRE CAP 2,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
10,QUESTIONNAIRE AUDITORY PERFORMANCE/DEVELOPMENT EVALUATION,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
11,SPEECH 6 LING'S SOUND TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
12,SPEECH HINT,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
13,SPEECH QUICK SIN TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
14,SPEECH DICHOTIC TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
15,SPEECH RAPID COMPRESSED TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
16,SPEECH WORKING MEMORY TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
17,SPEECH GIN TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
18,SPEECH FREQUENCY/PITCH PATTERN SEQUENCE TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
19,SPEECH DIURATION PATTERN SEQUENCE TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
20,SPEECH DICHOTIC LISTENING TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
21,SPEECH TEST OF MONAURAL LOW-REDUNDANCY SPEECH PERCEPTION,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
22,SPEECH AUDITORY DISCRIMINATION TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
23,SPEECH TEST OF LOCALIZATION AND LATERALIZATION AND OTHER BINAURAL FUNCTIONS,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
24,QUESTIONNAIRE ABEL,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
25,QUESTIONNAIRE CHILD,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
26,QUESTIONNAIRE COW,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
