code,display,system,include_type,valueset_url,valueset_name
00,PRE OP ASSESSMENT,http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-cochlear-implant-assessment-my-core,ValueSetAudiologyCochlearImplantAssessmentMyCore
01,INTRA OP IMPENDANCE TESTING,http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-cochlear-implant-assessment-my-core,ValueSetAudiologyCochlearImplantAssessmentMyCore
02,INTRA OP TELEMETRY TESTING,http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-cochlear-implant-assessment-my-core,ValueSetAudiologyCochlearImplantAssessmentMyCore
03,INTRA OP ELECTRICAL STAPEDIUS REFLEX THRESHOLD,http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-cochlear-implant-assessment-my-core,ValueSetAudiologyCochlearImplantAssessmentMyCore
04,INTRA OP ELECTRICA AUDITORY BRAINSTEM RESPONSE,http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-cochlear-implant-assessment-my-core,ValueSetAudiologyCochlearImplantAssessmentMyCore
05,POST OP SWITCH ON/ACTIVATION INCISION SITE CHECK,http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-cochlear-implant-assessment-my-core,ValueSetAudiologyCochlearImplantAssessmentMyCore
06,POST OP SWITCH ON/ACTIVATION CI DEVICE CHECK,http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-cochlear-implant-assessment-my-core,ValueSetAudiologyCochlearImplantAssessmentMyCore
07,POST OP SWITCH ON/ACTIVATION IMPEDANCE CHECK,http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-cochlear-implant-assessment-my-core,ValueSetAudiologyCochlearImplantAssessmentMyCore
08,POST OP SWITCH ON/ACTIVATION NEURAL RESPONSE TELEMETRY CHECK,http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-cochlear-implant-assessment-my-core,ValueSetAudiologyCochlearImplantAssessmentMyCore
09,POST OP SWITCH ON/ACTIVATION PROGRAMMING,http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-cochlear-implant-assessment-my-core,ValueSetAudiologyCochlearImplantAssessmentMyCore
10,POST OP FOLLOW UP INSICION SITE CHECK,http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-cochlear-implant-assessment-my-core,ValueSetAudiologyCochlearImplantAssessmentMyCore
11,POST OP FOLLOW UP CI DEVICE CHECK,http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-cochlear-implant-assessment-my-core,ValueSetAudiologyCochlearImplantAssessmentMyCore
12,POST OP FOLLOW UP IMPEDANCE CHECK,http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-cochlear-implant-assessment-my-core,ValueSetAudiologyCochlearImplantAssessmentMyCore
13,POST OP FOLLOW UP NEURAL RESPONSE TELEMETRY CHECK,http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-cochlear-implant-assessment-my-core,ValueSetAudiologyCochlearImplantAssessmentMyCore
14,POST OP FOLLOW UP ECAP,http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-cochlear-implant-assessment-my-core,ValueSetAudiologyCochlearImplantAssessmentMyCore
15,POST OP FOLLOW UP ESRT,http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-cochlear-implant-assessment-my-core,ValueSetAudiologyCochlearImplantAssessmentMyCore
16,POST OP FOLLOW UP EABR,http://fhir.hie.moh.gov.my/CodeSystem/audiology-cochlear-implant-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-cochlear-implant-assessment-my-core,ValueSetAudiologyCochlearImplantAssessmentMyCore
