code,display,system,include_type,valueset_url,valueset_name
00,HEARING AID TRIAL,http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
01,HEARING AID PRESCRIPTION,http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
02,EAR IMPRESSION TAKING,http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
03,HEARING AID FITTING,http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
04,HEARING AID ORIENTATION,http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
05,HEARING AID PROGRAMMING,http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
06,HEARING AID VERIFICATION,http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
07,HEARING AID VERIFICATION PHSYICAL CHECK,http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
08,HEARING AID VERIFICATION LISTENING CHECK,http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
09,HEARING AID VERIFICATION HATB,http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
10,HEARING AID VERIFICATION RECD,http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
11,HEARING AID VEFIRFICATION REIG,http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
12,HEARING AID VERIFICATION REAR,http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
13,HEARING AID VERIFICATION AIDED (FREEFIELD) TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
14,HEARING AID VERIFICATION AIDED ( ELECTROPHYSIOLOGY),http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
15,HEARING AID VERIFICATIONS OTHERS,http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
16,HEARING AID VALIDATION QUALITY OF LIFE QUESTIONNAIRE,http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
17,HEARING AID VALIDATION DATA LOGGING CHECK,http://fhir.hie.moh.gov.my/CodeSystem/audiology-hearing-aid-assessment-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-hearing-aid-assessment-my-core,ValueSetAudiologyHearingAidAssessmentMyCore
