code,display,system,include_type,valueset_url,valueset_name
00,SWD (Shortwave Diarthermy),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
01,ShockWT (Shockwave Therapy),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
02,US (Ultrasound Therapy),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
03,IT (Interferential Therapy),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
04,TENS/EMS,http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
05,Laser (Laser Therapy),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
06,Myofeedback / Biofeedback (EMG),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
07,Exs-A (Exercise - Active),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
08,Exs-P (Exercise - Passive),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
09,Exs-R (Exercise - Resisted),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
10,GE (Group Exs),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
11,CTE (Circuit Training Exs),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
12,AMB (Ambulation),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
13,FA (Functional Activities),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
14,BAT (Balance Training),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
15,G (Gait Training),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
16,TBE (Therapeutic Ball Exs),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
17,APNE (Ante Post Natal Exs),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
18,PFME (Pelvic Floor Mus. Exs),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
19,Mat Activity,http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
20,ME (Mechanical Exs),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
21,Bicycle (Ergometer / Recumbent Bike),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
22,T (Treadmill),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
23,Motorised cycle,http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
24,STH (Suspension Therapy),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
25,Tilt table Activity,http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
26,Cryotherapy by Air,http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
27,C (Cryocuff),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
28,IP (Ice Pack),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
29,HP (Hotpack),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
30,WB (Wax Bath),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
31,IRR (Infrared Therapy),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
32,CT (Cervical Traction),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
33,LTR (Lumbar Traction),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
34,CPM (Cont. Pass. Motion),http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
35,Supportive,http://fhir.hie.moh.gov.my/CodeSystem/clinic-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/clinic-physiotherapy-my-core,ValueSetClinicPhysiotherapyMyCore
