code,display,system,include_type,valueset_url,valueset_name
01,ANTENATAL/POSTNATAL,http://fhir.hie.moh.gov.my/CodeSystem/health-program-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/health-program-physiotherapy-my-core,ValueSetHealthProgramPhysiotherapyMyCore
02,KESIHATAN KANAK-KANAK,http://fhir.hie.moh.gov.my/CodeSystem/health-program-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/health-program-physiotherapy-my-core,ValueSetHealthProgramPhysiotherapyMyCore
03,KESIHATAN SEKOLAH,http://fhir.hie.moh.gov.my/CodeSystem/health-program-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/health-program-physiotherapy-my-core,ValueSetHealthProgramPhysiotherapyMyCore
04,KESIHATAN DEWASA (WELLNESS),http://fhir.hie.moh.gov.my/CodeSystem/health-program-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/health-program-physiotherapy-my-core,ValueSetHealthProgramPhysiotherapyMyCore
05,KANAK-KANAK KEPERLUAN KHAS,http://fhir.hie.moh.gov.my/CodeSystem/health-program-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/health-program-physiotherapy-my-core,ValueSetHealthProgramPhysiotherapyMyCore
06,KESIHATAN REMAJA,http://fhir.hie.moh.gov.my/CodeSystem/health-program-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/health-program-physiotherapy-my-core,ValueSetHealthProgramPhysiotherapyMyCore
07,KESIHATAN WARGA EMAS (WELLNESS),http://fhir.hie.moh.gov.my/CodeSystem/health-program-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/health-program-physiotherapy-my-core,ValueSetHealthProgramPhysiotherapyMyCore
08,KESIHATAN WARGA EMAS (INSTITUSI),http://fhir.hie.moh.gov.my/CodeSystem/health-program-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/health-program-physiotherapy-my-core,ValueSetHealthProgramPhysiotherapyMyCore
09,PERAWATAN DOMISILIARI,http://fhir.hie.moh.gov.my/CodeSystem/health-program-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/health-program-physiotherapy-my-core,ValueSetHealthProgramPhysiotherapyMyCore
10,NCD-PREDM,http://fhir.hie.moh.gov.my/CodeSystem/health-program-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/health-program-physiotherapy-my-core,ValueSetHealthProgramPhysiotherapyMyCore
11,NCD-DM,http://fhir.hie.moh.gov.my/CodeSystem/health-program-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/health-program-physiotherapy-my-core,ValueSetHealthProgramPhysiotherapyMyCore
