code,display,system,include_type,valueset_url,valueset_name
00,Shockwave Therapy,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
01,Real Time Ultra Sound,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
02,Shortwave Diathermy,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
03,Ultrasound Therapy,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
04,Interferential Therapy,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
05,Faradic Stimulation,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
06,Interrupted Direct Current,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
07,Direct Current,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
08,Iontophorosis,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
09,Didynamic Current,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
10,Transcutaneous Electrical Nerve Stimulation,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
11,Functional Electrical Stimulation,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
12,Laser Therapy,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
13,Biofeedback,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
14,Myofeedback,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
15,Infra Red Therapy,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
16,Hot Pack,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
17,Wax Bath,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
18,Exercise - Active / Passive / Resisted,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
19,Group Exercise,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
20,Mechanical Exercise,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
21,Ambulation,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
22,Gait Training,http://fhir.hie.moh.gov.my/CodeSystem/hospital-physiotherapy-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/hospital-physiotherapy-my-core,ValueSetHospitalPhysiotherapyMyCore
